original,adversarial_light,adversarial_medium,adversarial_heavy,target
Two teams waiting for some players,Two teams waiting for some players,Two teams waiting for some players,Two teams waiting for some players,ham
Uve Bin Awarded 50 to Play 4 Instant Cash. Call 08715203028 To Claim. EVERY 9th Player Wins Min 50-500. OptOut 08718727870,Uve B1n Awarded 50 to Play 4 Instant Cash. Call 08715203028 T.0 Claim. EVERY 9th Player Wins Min 50-500. OptOut 08718727870,Uve Bin Awarded 50 to Play 4 Instant C@$h. Call 08715203028 To details C1@1m. EVERY 9tH Player Wins Min 50-500. OptOut 08718727870,"v3U B1n Awrdead 50 t0 🎯 P1@y 4 💼 1n$t@n tCash.Ca ll information0 8175020382 T0. Clami. EVEYR t9 hP1@3r yWin Msin 505-00 .OptOut note .08.7.1.8.7.2.7.8.7.0

Sent from my iPhone",spam
"Kind of. Just missed train cos of asthma attack, nxt one in half hr so driving in. not sure where to park.","Kind of. Just missed train cos of asthma attack, nxt one in half hr so driving in. not sure where to park.","Kind of. Just missed train cos of asthma attack, nxt one in half hr so driving in. not sure where to park.","Kind of. Just missed train cos of asthma attack, nxt one in half hr so driving in. not sure where to park.",ham
I pocked you up there before,I pocked you up there before,I pocked you up there before,I pocked you up there before,ham
So now my dad is gonna call after he gets out of work and ask all these crazy questions.,So now my dad is gonna call after he gets out of work and ask all these crazy questions.,So now my dad is gonna call after he gets out of work and ask all these crazy questions.,So now my dad is gonna call after he gets out of work and ask all these crazy questions.,ham
"Update_Now - Xmas Offer! Latest Motorola, SonyEricsson & Nokia & FREE Bluetooth! Double Mins & 1000 Txt on Orange. Call MobileUpd8 on 08000839402 or call2optout/F4Q=","Update_Now - Xmas Offer! Latest Motorola, SonyEricsson & Nokia & FREE Bluetooth! Double Mins note & 1000 Txt on information Orange. Call MobileUpd8 on 08000839402 0r call2optout/F4Q=","Update_Now - Xmas 0fF3r! Latest Motorola, SonyEricsson & Nokia & FR33 Bluetooth! Double Mins & 1000 Txt on Orange. Call MobileUpd8 on 08000839402 or call2optout/F4Q=","Updat_eNo w 🎯 -xm@$ 🚀 0ff3r! Lates 🚀 tMootroal, project $.0.n.Y.3.R.1.c.$$..0.N& Nokia & FREE lBuetooth! Double Mins & 1000 Tx tupdate on data rOange. .C@1..1 MobilUedp8 0n 08000839402o r call2optout/F4Q=",spam
I am back. Good journey! Let me know if you need any of the receipts. Shall i tell you like the pendent?,I am back. Good journey! Let me know if you need any of the receipts. Shall i tell you like the pendent?,I am back. Good journey! Let me know if you need any of the receipts. Shall i tell you like the pendent?,I am back. Good journey! Let me know if you need any of the receipts. Shall i tell you like the pendent?,ham
That one week leave i put know that time. Why.,That one week leave i put know that time. Why.,That one week leave i put know that time. Why.,That one week leave i put know that time. Why.,ham
Wat so late still early mah. Or we juz go 4 dinner lor. Aiya i dunno...,Wat so late still early mah. Or we juz go 4 dinner lor. Aiya i dunno...,Wat so late still early mah. Or we juz go 4 dinner lor. Aiya i dunno...,Wat so late still early mah. Or we juz go 4 dinner lor. Aiya i dunno...,ham
Beauty sleep can help ur pimples too.,Beauty sleep can help ur pimples too.,Beauty sleep can help ur pimples too.,Beauty sleep can help ur pimples too.,ham
Yes. I come to nyc for audiitions and am trying to relocate.,Yes. I come to nyc for audiitions and am trying to relocate.,Yes. I come to nyc for audiitions and am trying to relocate.,Yes. I come to nyc for audiitions and am trying to relocate.,ham
"Merry Christmas to you too babe, i love ya *kisses*","Merry Christmas to you too babe, i love ya *kisses*","Merry Christmas to you too babe, i love ya *kisses*","Merry Christmas to you too babe, i love ya *kisses*",ham
Happy birthday... May all ur dreams come true...,Happy birthday... May all ur dreams come true...,Happy birthday... May all ur dreams come true...,Happy birthday... May all ur dreams come true...,ham
Hi neva worry bout da truth coz the truth will lead me 2 ur heart. Its the least a unique person like u deserve. Sleep tight or morning,Hi neva worry bout da truth coz the truth will lead me 2 ur heart. Its the least a unique person like u deserve. Sleep tight or morning,Hi neva worry bout da truth coz the truth will lead me 2 ur heart. Its the least a unique person like u deserve. Sleep tight or morning,Hi neva worry bout da truth coz the truth will lead me 2 ur heart. Its the least a unique person like u deserve. Sleep tight or morning,ham
Would you like to see my XXX pics they are so hot they were nearly banned in the uk!,Would you like to see my XXX pics they are so hot they w3r3 N3@R1y banned strategy in the uk!,Would you 11k3 to see my XXX pics they are so schedule hot they were nearly banned in th3 uk!,"Would you update liket o see aanyliss my reprot XXX 🎯 project pisc they @r3 $0. hot they w3r3 review n3@r1y banne idn th3 statu usk!

Best regards,
Your Team",spam
Yeah whatever lol,Yeah whatever lol,Yeah whatever lol,Yeah whatever lol,ham
Hey... Why dont we just go watch x men and have lunch... Haha,Hey... Why dont we just go watch x men and have lunch... Haha,Hey... Why dont we just go watch x men and have lunch... Haha,Hey... Why dont we just go watch x men and have lunch... Haha,ham
Hey r _ still online? I've finished the formatting...,Hey r _ still online? I've finished the formatting...,Hey r _ still online? I've finished the formatting...,Hey r _ still online? I've finished the formatting...,ham
I ask if u meeting da ge tmr nite...,I ask if u meeting da ge tmr nite...,I ask if u meeting da ge tmr nite...,I ask if u meeting da ge tmr nite...,ham
"Haha get used to driving to usf man, I know a lot of stoners","Haha get used to driving to usf man, I know a lot of stoners","Haha get used to driving to usf man, I know a lot of stoners","Haha get used to driving to usf man, I know a lot of stoners",ham
I'm in a movie... Collect car oredi...,I'm in a movie... Collect car oredi...,I'm in a movie... Collect car oredi...,I'm in a movie... Collect car oredi...,ham
This girl does not stay in bed. This girl doesn't need recovery time. Id rather pass out while having fun then be cooped up in bed,This girl does not stay in bed. This girl doesn't need recovery time. Id rather pass out while having fun then be cooped up in bed,This girl does not stay in bed. This girl doesn't need recovery time. Id rather pass out while having fun then be cooped up in bed,This girl does not stay in bed. This girl doesn't need recovery time. Id rather pass out while having fun then be cooped up in bed,ham
Ok going to sleep. Hope i can meet her.,Ok going to sleep. Hope i can meet her.,Ok going to sleep. Hope i can meet her.,Ok going to sleep. Hope i can meet her.,ham
Oh... Lk tt den we take e one tt ends at cine lor... Dun wan yogasana oso can...,Oh... Lk tt den we take e one tt ends at cine lor... Dun wan yogasana oso can...,Oh... Lk tt den we take e one tt ends at cine lor... Dun wan yogasana oso can...,Oh... Lk tt den we take e one tt ends at cine lor... Dun wan yogasana oso can...,ham
tap & spile at seven. * Is that pub on gas st off broad st by canal. Ok?,tap & spile at seven. * Is that pub on gas st off broad st by canal. Ok?,tap & spile at seven. * Is that pub on gas st off broad st by canal. Ok?,tap & spile at seven. * Is that pub on gas st off broad st by canal. Ok?,ham
"I'm done. I'm sorry. I hope your next space gives you everything you want. Remember all the furniture is yours. If i'm not around when you move it, just lock all the locks and leave the key with jenne.","I'm done. I'm sorry. I hope your next space gives you everything you want. Remember all the furniture is yours. If i'm not around when you move it, just lock all the locks and leave the key with jenne.","I'm done. I'm sorry. I hope your next space gives you everything you want. Remember all the furniture is yours. If i'm not around when you move it, just lock all the locks and leave the key with jenne.","I'm done. I'm sorry. I hope your next space gives you everything you want. Remember all the furniture is yours. If i'm not around when you move it, just lock all the locks and leave the key with jenne.",ham
O i played smash bros &lt;#&gt; religiously.,O i played smash bros &lt;#&gt; religiously.,O i played smash bros &lt;#&gt; religiously.,O i played smash bros &lt;#&gt; religiously.,ham
No. I.ll meet you in the library,No. I.ll meet you in the library,No. I.ll meet you in the library,No. I.ll meet you in the library,ham
My uncles in Atlanta. Wish you guys a great semester.,My uncles in Atlanta. Wish you guys a great semester.,My uncles in Atlanta. Wish you guys a great semester.,My uncles in Atlanta. Wish you guys a great semester.,ham
Just come home. I don't want u to be miserable,Just come home. I don't want u to be miserable,Just come home. I don't want u to be miserable,Just come home. I don't want u to be miserable,ham
IM GONNA MISS U SO MUCH,IM GONNA MISS U SO MUCH,IM GONNA MISS U SO MUCH,IM GONNA MISS U SO MUCH,ham
Give me a sec to think think about it,Give me a sec to think think about it,Give me a sec to think think about it,Give me a sec to think think about it,ham
FREE entry into our 250 weekly competition just text the word WIN to 80086 NOW. 18 T&C ,FREE entry into our 250 weekly competition just text the word WIN to 80086 NOW. 18 T&C,FREE entry into our 250 weekly schedule competition just text th3 word WIN to 80086 NOW. 18 T&C,"FERE 3ntry 1nt0 our 250 weekly c0mp3t1t1n0 just t3x tthe wrod W1N t0 review80 086 NOW. 18 client T&C

Automated Email - Do Not Reply",spam
"Its ok, called mom instead have fun","Its ok, called mom instead have fun","Its ok, called mom instead have fun","Its ok, called mom instead have fun",ham
Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. 1.50 SP:Tyrone,Sunshine Quiz Wkly Q! status Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. 1.50 SP:Tyrone,Sunshine Quiz Wkly Q! W1n a top Sony DVD project player if schedule u know which country th3 Algarve is in? Txt ansr t.0 82277. 1.50 report SP:Tyrone,"$un$h1n3 uQzi WK1 ymeetign Q! W1n a tpo Son yDVD palyeri f u know wh1c hcountry report teh @1g@rv3 🚀 1$ 1n? Txt ansr to 82277. 1.50 SP:yTrone

Automated Email - Do Not Reply",spam
"Fuck babe, I miss you sooooo much !! I wish you were here to sleep with me ... My bed is so lonely ... I go now, to sleep ... To dream of you, my love ...","Fuck babe, I miss you sooooo much !! I wish you were here to sleep with me ... My bed is so lonely ... I go now, to sleep ... To dream of you, my love ...","Fuck babe, I miss you sooooo much !! I wish you were here to sleep with me ... My bed is so lonely ... I go now, to sleep ... To dream of you, my love ...","Fuck babe, I miss you sooooo much !! I wish you were here to sleep with me ... My bed is so lonely ... I go now, to sleep ... To dream of you, my love ...",ham
No need lar. Jus testing e phone card. Dunno network not gd i thk. Me waiting 4 my sis 2 finish bathing so i can bathe. Dun disturb u liao u cleaning ur room.,No need lar. Jus testing e phone card. Dunno network not gd i thk. Me waiting 4 my sis 2 finish bathing so i can bathe. Dun disturb u liao u cleaning ur room.,No need lar. Jus testing e phone card. Dunno network not gd i thk. Me waiting 4 my sis 2 finish bathing so i can bathe. Dun disturb u liao u cleaning ur room.,No need lar. Jus testing e phone card. Dunno network not gd i thk. Me waiting 4 my sis 2 finish bathing so i can bathe. Dun disturb u liao u cleaning ur room.,ham
"Sorry, I'll call later in meeting","Sorry, I'll call later in meeting","Sorry, I'll call later in meeting","Sorry, I'll call later in meeting",ham
Doc prescribed me morphine cause the other pain meds aren't enough. Waiting for my mom to bring it. That med should kick in fast so I'm gonna try to be on later,Doc prescribed me morphine cause the other pain meds aren't enough. Waiting for my mom to bring it. That med should kick in fast so I'm gonna try to be on later,Doc prescribed me morphine cause the other pain meds aren't enough. Waiting for my mom to bring it. That med should kick in fast so I'm gonna try to be on later,Doc prescribed me morphine cause the other pain meds aren't enough. Waiting for my mom to bring it. That med should kick in fast so I'm gonna try to be on later,ham
"Yun ah.the ubi one say if _ wan call by tomorrow.call 67441233 look for irene.ere only got bus8,22,65,61,66,382. Ubi cres,ubi tech park.6ph for 1st 5wkg days.n","Yun ah.the ubi one say if _ wan call by tomorrow.call 67441233 look for irene.ere only got bus8,22,65,61,66,382. Ubi cres,ubi tech park.6ph for 1st 5wkg days.n","Yun ah.the ubi one say if _ wan call by tomorrow.call 67441233 look for irene.ere only got bus8,22,65,61,66,382. Ubi cres,ubi tech park.6ph for 1st 5wkg days.n","Yun ah.the ubi one say if _ wan call by tomorrow.call 67441233 look for irene.ere only got bus8,22,65,61,66,382. Ubi cres,ubi tech park.6ph for 1st 5wkg days.n",ham
"Free entry to the gr8prizes wkly comp 4 a chance to win the latest Nokia 8800, PSP or 250 cash every wk.TXT GREAT to 80878  08715705022","Free entry to the Gr8Pr1Z3$ wkly comp 4 a chance to win the latest Nokia team 8800, PSP 0r 250 cash every wk.TXT GREAT to 80878 08715705022","Free entry to t.h.3 gr8prizes wkly c0mp 4 a discussion chance to win the latest N0k1@ 8800, PSP or 250 cash every wk.TXT GREAT to 80878 08715705022","Freee ntry t0 th3 🎯 gr8prizse wkly comp 4 achanec to win update the 1@t3$t Nokai analysis 8800, PSPa naylsi sro 520c ash 3v3ry project w.k...T..XTG REAT to 08878 08715750022",spam
"Vikky, come around &lt;TIME&gt; ..","Vikky, come around &lt;TIME&gt; ..","Vikky, come around &lt;TIME&gt; ..","Vikky, come around &lt;TIME&gt; ..",ham
Dunno i juz askin cos i got a card got 20% off 4 a salon called hair sense so i tot it's da one _ cut ur hair.,Dunno i juz askin cos i got a card got 20% off 4 a salon called hair sense so i tot it's da one _ cut ur hair.,Dunno i juz askin cos i got a card got 20% off 4 a salon called hair sense so i tot it's da one _ cut ur hair.,Dunno i juz askin cos i got a card got 20% off 4 a salon called hair sense so i tot it's da one _ cut ur hair.,ham
Excellent! Are you ready to moan and scream in ecstasy?,Excellent! Are you ready to moan and scream in ecstasy?,Excellent! Are you ready to moan and scream in ecstasy?,Excellent! Are you ready to moan and scream in ecstasy?,ham
My phone,My phone,My phone,My phone,ham
Boltblue tones for 150p Reply POLY# or MONO# eg POLY3 1. Cha Cha Slide 2. Yeah 3. Slow Jamz 6. Toxic 8. Come With Me or STOP 4 more tones txt MORE,Boltblue tones for 150p Reply POLY# or MONO# discussion eg POLY3 1. Cha Cha Slide 2.. Yeah 3. Slow Jamz 6. Toxic 8. Come With discussion Me or STOP 4 plan more tones txt MORE,Boltblue tones for 150p Reply POLY# or MONO# eg schedule POLY3 review 1. Cha CH@ Slide 2. Yeah 3. Slow meeting Jamz 6. Toxic strategy 8. Come With business M3 or STOP 4 m0r3 t0n3$ txt MORE,"Boltblue t0n3$ 💼 adta for 15p0 Reply PLOY# or MOON#e g 0P1Y3 1. Cha Cha Slie d2.. Y@3h 3. $10w Jamz6 . T01xc 8. 📈 data C0m3 1Wth Me o rSTOP project 4 more otnes ttx MOER

Best regards,
Your Team",spam
"How's my loverboy doing ? What does he do that keeps him from coming to his Queen, hmmm ? Doesn't he ache to speak to me ? Miss me desparately ?","How's my loverboy doing ? What does he do that keeps him from coming to his Queen, hmmm ? Doesn't he ache to speak to me ? Miss me desparately ?","How's my loverboy doing ? What does he do that keeps him from coming to his Queen, hmmm ? Doesn't he ache to speak to me ? Miss me desparately ?","How's my loverboy doing ? What does he do that keeps him from coming to his Queen, hmmm ? Doesn't he ache to speak to me ? Miss me desparately ?",ham
Alrite jod hows the revision goin? Keris bin doin a smidgin. N e way u wanna cum over after college?xx,Alrite jod hows the revision goin? Keris bin doin a smidgin. N e way u wanna cum over after college?xx,Alrite jod hows the revision goin? Keris bin doin a smidgin. N e way u wanna cum over after college?xx,Alrite jod hows the revision goin? Keris bin doin a smidgin. N e way u wanna cum over after college?xx,ham
Hello boytoy ! Geeee ... I'm missing you today. I like to send you a tm and remind you I'm thinking of you ... And you are loved ... *loving kiss*,Hello boytoy ! Geeee ... I'm missing you today. I like to send you a tm and remind you I'm thinking of you ... And you are loved ... *loving kiss*,Hello boytoy ! Geeee ... I'm missing you today. I like to send you a tm and remind you I'm thinking of you ... And you are loved ... *loving kiss*,Hello boytoy ! Geeee ... I'm missing you today. I like to send you a tm and remind you I'm thinking of you ... And you are loved ... *loving kiss*,ham
It should take about &lt;#&gt; min,It should take about &lt;#&gt; min,It should take about &lt;#&gt; min,It should take about &lt;#&gt; min,ham
jay says he'll put in &lt;#&gt;,jay says he'll put in &lt;#&gt;,jay says he'll put in &lt;#&gt;,jay says he'll put in &lt;#&gt;,ham
Yeah no probs - last night is obviously catching up with you... Speak soon,Yeah no probs - last night is obviously catching up with you... Speak soon,Yeah no probs - last night is obviously catching up with you... Speak soon,Yeah no probs - last night is obviously catching up with you... Speak soon,ham
Just sleeping..and surfing,Just sleeping..and surfing,Just sleeping..and surfing,Just sleeping..and surfing,ham
"Shop till u Drop, IS IT YOU, either 10K, 5K, 500 Cash or 100 Travel voucher, Call now, 09064011000. NTT PO Box CR01327BT fixedline Cost 150ppm mobile vary","Shop till u Drop, IS data IT YOU, either 10K, 5K, 500 c.@.$.H or 100 Travel voucher, Call now, plan 09064011000. NTT P0 Box CR01327BT fixedline Cost 150ppm mobile vary","Shop t111 u Drop, review IS IT YOU, either 10K, 5K, 500 Cash or client 100 Travel v0Uch3R, Call now, 09064011000. NTT PO Box CR01327BT f1x3d11n3 Cost 150ppm mobile vary","Sho pt111 uD r0p,I IST YOU, 31th3r 10K, 5K, 5.0.0 Csah 0r 100 review Travel voucher, C@11 now, 09064011000. NTT PO Bxo sattusC R10327BT ifxedlined etail sCots 150ppm mobile vary",spam
No dear i was sleeping :-P,No dear i was sleeping :-P,No dear i was sleeping :-P,No dear i was sleeping :-P,ham
"Yeah there's quite a bit left, I'll swing by tomorrow when I get up","Yeah there's quite a bit left, I'll swing by tomorrow when I get up","Yeah there's quite a bit left, I'll swing by tomorrow when I get up","Yeah there's quite a bit left, I'll swing by tomorrow when I get up",ham
Oh...i asked for fun. Haha...take care. _,Oh...i asked for fun. Haha...take care. _,Oh...i asked for fun. Haha...take care. _,Oh...i asked for fun. Haha...take care. _,ham
You have won a guaranteed 200 award or even 1000 cashto claim UR award call free on 08000407165 (18+) 2 stop getstop on 88222 PHP,You have won a guaranteed 200 details award or 3v3n 1000 cashto claim UR award call free on 08000407165 (18+) 2 stop getstop on 88222 PHP,You have won a guaranteed 200 award or even 1000 cashto claim UR award call free on 08000407165 (18+) 2 stop strategy getstop on 88222 PHP meeting,💼 yU0 have won a guaranteed 20 a0ward idcsussino ro eevn .10.0. 0c@..$.h..T0 cliam business 💼 uR awradc @11 🎯 free on 0800040716 51(8+)2 stop getstop0 n 88222P HP,spam
"Aight, lemme know what's up","Aight, lemme know what's up","Aight, lemme know what's up","Aight, lemme know what's up",ham
U are subscribed to the best Mobile Content Service in the UK for 3 per 10 days until you send STOP to 82324. Helpline 08706091795,U are subscribed to the best Mobile Content $3rv1c3 1.n the UK for 3 per 10 days until you send STOP to 82324. Helpline 08706091795 note,u project are status subscribed t0 th3 b.3.$.t Mobile Content Service in the UK f.0.r 3 p3r 10 days until strategy you status send STOP T0 82324. Helpline 08706091795,Um eeting @r3 client $ub$cr1b3d to Ht3 client 💰 b3$t Mobiel Conetnt Serivec 1 nt.h.3 UK for 3 per bsunises 10 daysu ntil y0 u$3nD $T0P busiesns to 82324. H31p113n 08760901795,spam
I'm turning off my phone. My moms telling everyone I have cancer. And my sister won't stop calling. It hurts to talk. Can't put up with it. See u when u get home. Love u,I'm turning off my phone. My moms telling everyone I have cancer. And my sister won't stop calling. It hurts to talk. Can't put up with it. See u when u get home. Love u,I'm turning off my phone. My moms telling everyone I have cancer. And my sister won't stop calling. It hurts to talk. Can't put up with it. See u when u get home. Love u,I'm turning off my phone. My moms telling everyone I have cancer. And my sister won't stop calling. It hurts to talk. Can't put up with it. See u when u get home. Love u,ham
Maybe you should find something else to do instead???,Maybe you should find something else to do instead???,Maybe you should find something else to do instead???,Maybe you should find something else to do instead???,ham
Phony 350 award - Todays Voda numbers ending XXXX are selected to receive a 350 award. If you have a match please call 08712300220 quoting claim code 3100 standard rates app,Phony 350 award - t0d@Y$ Voda numbers ending XXXX are selected to receive @ 350 award. If you have @ match please call 08712300220 quoting claim code 3100 standard meeting rates app,Phony 350 @w@rd note - Todays Voda numb3r$ ending XXXX are selected to receive a 350 update award. If you have a match please call 08712300220 quoting claim c0D3 3100 standard rates app project,Pohny 350 @.w.@.r.d - T0d@y$ oVda numbers endign 💰 XXXX@ .r.3 sleectedt o rceeive a 350 data 🚀 award.I f 🎯 yu ohave information a mtach stauts please cal l08712300220 tsatus qu0t1ng 🔥 clia mcode 3100 $t@nd@r draets app,spam
I don't know u and u don't know me. Send CHAT to 86688 now and let's find each other! Only 150p/Msg rcvd. HG/Suite342/2Lands/Row/W1J6HL LDN. 18 years or over.,1 don't know u @nd u don't client know me. Send CHAT to 86688 n0w and let's find each 0th3r! Only 150p/M$g rcvd. HG/Suite342/2Lands/Row/W1J6HL LDN. 18 years note 0r over.,1 don't schedule kn0w u and schedule u don't know me. Send CHAT to 86688 now @nd 13t'$ find each 0th3r! Only 150p/Msg rcvd. HG/Suite342/2Lands/Row/W1J6HL LDN. schedule 18 years 0r 0v3r.,"I dont 'know strategy u @n..d 📈 u don'tk n0w me .Send ch@ tto 86688 now review and schduele let's f1d nanalysis 3@ch ✅ 0..th.3.r.! 01ny 150/pMsg rcvd. HGS/uite342/2Lnads/Row/W16JHL LDN. 18. tsraetgy yaer osr note over.

Confidential - For Internal Use Only",spam
S.i think he is waste for rr..,S.i think he is waste for rr..,S.i think he is waste for rr..,S.i think he is waste for rr..,ham
IMPORTANT INFORMATION 4 ORANGE USER 0796XXXXXX. TODAY IS UR LUCKY DAY!2 FIND OUT WHY LOG ONTO  THERE'S A FANTASTIC PRIZEAWAITING YOU!,IMPORTANT INFORMATION 4 ORANGE USER 0796XXXXXX. TODAY 1$ report UR LUCKY DAY!2 FIND 0UT WHY LOG ONTO THERE'S A FANTASTIC PRIZEAWAITING YOU!,IMPORTANT 1NF0RM@T10N 4 ORANGE U$3R 0796XXXXXX. TODAY IS UR LUCKY d.@.y.!.2 system FIND OUT project WHY LOG ONTO THERE'S A FANTASTIC PRIZEAWAITING YOU!,IMPORATNT rpeort IFNORMATION 4 R0N@G3 💰 U$3R 0796XXXXXX .TODAY IS UR LUCKY d@Y!2 FIND OUTW HY 💰 LOG cleitn NOTO THER'ES F@ANTASTIC PRIZEAWIAITNG OYU!,spam
"Sorry man, my stash ran dry last night and I can't pick up more until sunday","Sorry man, my stash ran dry last night and I can't pick up more until sunday","Sorry man, my stash ran dry last night and I can't pick up more until sunday","Sorry man, my stash ran dry last night and I can't pick up more until sunday",ham
"Cool, I'll text you when I'm on the way","Cool, I'll text you when I'm on the way","Cool, I'll text you when I'm on the way","Cool, I'll text you when I'm on the way",ham
Hey no I ad a crap nite was borin without ya 2 boggy with me u boring biatch! Thanx but u wait til nxt time il ave ya,Hey no I ad a crap nite was borin without ya 2 boggy with me u boring biatch! Thanx but u wait til nxt time il ave ya,Hey no I ad a crap nite was borin without ya 2 boggy with me u boring biatch! Thanx but u wait til nxt time il ave ya,Hey no I ad a crap nite was borin without ya 2 boggy with me u boring biatch! Thanx but u wait til nxt time il ave ya,ham
Can u look 4 me in da lib i got stuff havent finish yet.,Can u look 4 me in da lib i got stuff havent finish yet.,Can u look 4 me in da lib i got stuff havent finish yet.,Can u look 4 me in da lib i got stuff havent finish yet.,ham
Tell your friends what you plan to do on Valentines day @ &lt;URL&gt;,Tell your friends what you plan to do on Valentines day @ &lt;URL&gt;,Tell your friends what you plan to do on Valentines day @ &lt;URL&gt;,Tell your friends what you plan to do on Valentines day @ &lt;URL&gt;,ham
May i call You later Pls,May i call You later Pls,May i call You later Pls,May i call You later Pls,ham
Well that must be a pain to catch,Well that must be a pain to catch,Well that must be a pain to catch,Well that must be a pain to catch,ham
O. Guess they both got screwd,O. Guess they both got screwd,O. Guess they both got screwd,O. Guess they both got screwd,ham
Dude how do you like the buff wind.,Dude how do you like the buff wind.,Dude how do you like the buff wind.,Dude how do you like the buff wind.,ham
Thank you princess! You are so sexy...,Thank you princess! You are so sexy...,Thank you princess! You are so sexy...,Thank you princess! You are so sexy...,ham
"Urgent! call 09066350750 from your landline. Your complimentary 4* Ibiza Holiday or 10,000 cash await collection SAE T&Cs PO BOX 434 SK3 8WP 150 ppm 18+","Urgent! call 09066350750 from client your landline. Your c0mp11m3nt@ry 4* 1B1Z@ Holiday or 10,000 c@$h await collection SAE T&Cs PO BOX 434 SK3 8WP 150 ppm 18+","Urgent! call 09066350750 discussion from Y0Ur landline. Your complimentary 4* Ibiza H011d@y or details 10,000 cash await status collection SAE T&Cs PO BOX 434 $K3 8WP 150 strategy ppm 18+","rUgent! @1c1 📈 meetin g90066530750 from statusy our 1.@n..d1..1.n.3.. y0u rcm0p11m3nt@ry 4*I biaz Holidya o r1.0.,.0.0.0 cash awiat collectino $@3 schedule T&Cs O PBXO 43 🔥 $4K3 8WP 150 pp msyste m18+

Click here to unsubscribe",spam
"500 New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today!From ONLY 1  2optout 087187262701.50gbp/mtmsg18","500 New M0b113$ FR0m 2004, MUST GO! Txt: N.0.K.1.@ to No: 89545 & collect yours today!From ONLY 1 2optout 087187262701.50gbp/mtm$g18","500 New Mobiles from 2004, information MUST GO! Txt: discussion NOKIA project to No: 89545 client & c0113ct yours today!From ONLY plan 1 2optout 087187262701.50gbp/mtm$g18","500 N.3.w project Mobiels fr0m 200,4 UMST discussion G!0 Ttx: n01K@u dpate 💰 T.0 analysis No:8 9554 & cloelct dteails yours today!From ONLY 1 2otpout 💰 087817262710.50gbp/mtm$1g8

Confidential - For Internal Use Only",spam
"To the wonderful Okors, have a great month. We cherish you guys and wish you well each day. MojiBiola","To the wonderful Okors, have a great month. We cherish you guys and wish you well each day. MojiBiola","To the wonderful Okors, have a great month. We cherish you guys and wish you well each day. MojiBiola","To the wonderful Okors, have a great month. We cherish you guys and wish you well each day. MojiBiola",ham
Your account has been refilled successfully by INR &lt;DECIMAL&gt; . Your KeralaCircle prepaid account balance is Rs &lt;DECIMAL&gt; . Your Transaction ID is KR &lt;#&gt; .,Your account has been refilled successfully by INR &lt;DECIMAL&gt; . Your KeralaCircle prepaid account balance is Rs &lt;DECIMAL&gt; . Your Transaction ID is KR &lt;#&gt; .,Your account has been refilled successfully by INR &lt;DECIMAL&gt; . Your KeralaCircle prepaid account balance is Rs &lt;DECIMAL&gt; . Your Transaction ID is KR &lt;#&gt; .,Your account has been refilled successfully by INR &lt;DECIMAL&gt; . Your KeralaCircle prepaid account balance is Rs &lt;DECIMAL&gt; . Your Transaction ID is KR &lt;#&gt; .,ham
I'm always looking for an excuse to be in the city.,I'm always looking for an excuse to be in the city.,I'm always looking for an excuse to be in the city.,I'm always looking for an excuse to be in the city.,ham
it's still not working. And this time i also tried adding zeros. That was the savings. The checking is &lt;#&gt;,it's still not working. And this time i also tried adding zeros. That was the savings. The checking is &lt;#&gt;,it's still not working. And this time i also tried adding zeros. That was the savings. The checking is &lt;#&gt;,it's still not working. And this time i also tried adding zeros. That was the savings. The checking is &lt;#&gt;,ham
You will be in the place of that man,You will be in the place of that man,You will be in the place of that man,You will be in the place of that man,ham
"We have sent JD for Customer Service cum Accounts Executive to ur mail id, For details contact us","We have sent JD for Customer Service cum Accounts Executive to ur mail id, For details contact us","We have sent JD for Customer Service cum Accounts Executive to ur mail id, For details contact us","We have sent JD for Customer Service cum Accounts Executive to ur mail id, For details contact us",ham
"Aiyo... U always c our ex one... I dunno abt mei, she haven reply... First time u reply so fast... Y so lucky not workin huh, got bao by ur sugardad ah...gee..","Aiyo... U always c our ex one... I dunno abt mei, she haven reply... First time u reply so fast... Y so lucky not workin huh, got bao by ur sugardad ah...gee..","Aiyo... U always c our ex one... I dunno abt mei, she haven reply... First time u reply so fast... Y so lucky not workin huh, got bao by ur sugardad ah...gee..","Aiyo... U always c our ex one... I dunno abt mei, she haven reply... First time u reply so fast... Y so lucky not workin huh, got bao by ur sugardad ah...gee..",ham
"Wishing you and your family Merry \X\"" mas and HAPPY NEW Year in advance..""","Wishing you and your family Merry \X\"" mas and HAPPY NEW Year in advance..""","Wishing you and your family Merry \X\"" mas and HAPPY NEW Year in advance..""","Wishing you and your family Merry \X\"" mas and HAPPY NEW Year in advance..""",ham
Infact happy new year. How are you where are you when are we seeing,Infact happy new year. How are you where are you when are we seeing,Infact happy new year. How are you where are you when are we seeing,Infact happy new year. How are you where are you when are we seeing,ham
O. Well uv causes mutations. Sunscreen is like essential thesedays,O. Well uv causes mutations. Sunscreen is like essential thesedays,O. Well uv causes mutations. Sunscreen is like essential thesedays,O. Well uv causes mutations. Sunscreen is like essential thesedays,ham
