email,target,email_spaced
"Sorry, I'll call later",ham,"Sorry, I'll call later"
"Hiya, sorry didn't hav signal. I haven't seen or heard from and neither has, which is unusual in itself! I'll put on the case and get him to sort it out! Hugs and snogs.",ham,"Hiya, sorry didn't hav signal. I haven't seen or heard from and neither has, which is unusual in itself! I'll put on the case and get him to sort it out! Hugs and snogs."
HELLO PEACH! MY CAKE TASTS LUSH!,ham,HELLO PEACH! MY CAKE TASTS LUSH!
"Do you know why god created gap between your fingers..? So that, One who is made for you comes &amp; fills those gaps by holding your hand with LOVE..!",ham,"Do you know why god created gap between your fingers..? So that, One who is made for you comes &amp; fills those gaps by holding your hand with LOVE..!"
If you r @ home then come down within 5 min,ham,If you r @ home then come down within 5 min
Not sure I have the stomach for it ...,ham,Not sure I have the stomach for it ...
How are you. Just checking up on you,ham,How are you. Just checking up on you
Wherre's my boytoy ? :-(,ham,Wherre's my boytoy ? :-(
There are no other charges after transfer charges and you can withdraw anyhow you like,ham,There are no other charges after transfer charges and you can withdraw anyhow you like
"You are being contacted by our Dating Service by someone you know! To find out who it is, call from your mobile or landline 09064017305 PoBox75LDNS7",spam,"Y o u are being contacted by o u r Da ting Serv ice by some one y o u k n o w! To f i n d o u t who it is, c a l l f r o m y our m o b i l e or l a n d l i n e 09064017305 PoBox75LDNS7"
Hey we can go jazz power yoga hip hop kb and yogasana,ham,Hey we can go jazz power yoga hip hop kb and yogasana
"Good evening Sir, Al Salam Wahleykkum.sharing a happy news.By the grace of God, i got an offer from Tayseer,TISSCO and i joined.Hope you are fine.Inshah Allah,meet you sometime.Rakhesh,visitor from India.",ham,"Good evening Sir, Al Salam Wahleykkum.sharing a happy news.By the grace of God, i got an offer from Tayseer,TISSCO and i joined.Hope you are fine.Inshah Allah,meet you sometime.Rakhesh,visitor from India."
Easy ah?sen got selected means its good..,ham,Easy ah?sen got selected means its good..
Yup but not studying surfing lor. I'm in e lazy mode today.,ham,Yup but not studying surfing lor. I'm in e lazy mode today.
Customer place i will call you.,ham,Customer place i will call you.
How are you doing? Hope you've settled in for the new school year. Just wishin you a gr8 day,ham,How are you doing? Hope you've settled in for the new school year. Just wishin you a gr8 day
 mean it's confirmed... I tot they juz say oni... Ok then...,ham, mean it's confirmed... I tot they juz say oni... Ok then...
Anything lor... U decide...,ham,Anything lor... U decide...
If you still havent collected the dough pls let me know so i can go to the place i sent it to get the control number,ham,If you still havent collected the dough pls let me know so i can go to the place i sent it to get the control number
I AM AT THE GAS STATION. GO THERE.,ham,I AM AT THE GAS STATION. GO THERE.
I love to wine and dine my lady!,ham,I love to wine and dine my lady!
God bless.get good sleep my dear...i will pray!,ham,God bless.get good sleep my dear...i will pray!
Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. 1.50 SP:Tyrone,spam,Su nshine Qu iz W kly Q! W i n a t o p S o n y DVD p l a y e r if u k n o w w h i c h country the Algarve is in? Txt ansr to 8 2 2 7 7. 1.50 SP:Tyrone
"Nt only for driving even for many reasons she is called BBD..thts it chikku, then hw abt dvg cold..heard tht vinobanagar violence hw is the condition..and hw ru ? Any problem?",ham,"Nt only for driving even for many reasons she is called BBD..thts it chikku, then hw abt dvg cold..heard tht vinobanagar violence hw is the condition..and hw ru ? Any problem?"
Yo sorry was in the shower sup,ham,Yo sorry was in the shower sup
"Jolly good! By the way, will give u tickets for sat eve 7.30. Speak before then x",ham,"Jolly good! By the way, will give u tickets for sat eve 7.30. Speak before then x"
Dear are you angry i was busy dear,ham,Dear are you angry i was busy dear
Are you going to write ccna exam this week??,ham,Are you going to write ccna exam this week??
Height of recycling: Read twice- People spend time for earning money and the same money is spent for spending time!;-) Good morning.. keep smiling:-),ham,Height of recycling: Read twice- People spend time for earning money and the same money is spent for spending time!;-) Good morning.. keep smiling:-)
I only haf msn. It's yijue@hotmail.com,ham,I only haf msn. It's yijue@hotmail.com
Do you know where my lab goggles went,ham,Do you know where my lab goggles went
I think its far more than that but find out. Check google maps for a place from your dorm.,ham,I think its far more than that but find out. Check google maps for a place from your dorm.
How much it will cost approx . Per month.,ham,How much it will cost approx . Per month.
U should have made an appointment,ham,U should have made an appointment
When are you guys leaving?,ham,When are you guys leaving?
We will meet soon princess! Ttyl!,ham,We will meet soon princess! Ttyl!
Thanks for yesterday sir. You have been wonderful. Hope you enjoyed the burial. MojiBiola,ham,Thanks for yesterday sir. You have been wonderful. Hope you enjoyed the burial. MojiBiola
It's ok lar. U sleep early too... Nite...,ham,It's ok lar. U sleep early too... Nite...
"I am late,so call you tomorrow morning.take care sweet dreams....u and me...ummifying...bye.",ham,"I am late,so call you tomorrow morning.take care sweet dreams....u and me...ummifying...bye."
"Twinks, bears, scallies, skins and jocks are calling now. Don't miss the weekend's fun. Call 08712466669 at 10p/min. 2 stop texts call 08712460324(nat rate)",spam,"Twinks, bears, scallies, skins and jocks are c alling n o w. Don't m iss the we ek end's f u n. C a l l 08712466669 at 10p/min. 2 st op tex ts c a l l 0 8 7 1 2 4 6 0 3 2 4(nat ra te)"
"SMS. ac Blind Date 4U!: Rodds1 is 21/m from Aberdeen, United Kingdom. Check Him out  sms. ac/W/icmb3cktz8r7!-4 no Blind Dates send HIDE",spam,"S M S. ac Blind D a t e 4U!: Rodds1 is 21/m fr om Aberdeen, United Kingdom. Check H i m o u t  s m s. ac/W/icmb3cktz8r7!-4 no Blind Dates s e n d HIDE"
U calling me right? Call my hand phone...,ham,U calling me right? Call my hand phone...
"Final Chance! Claim ur 150 worth of discount vouchers today! Text YES to 85023 now! SavaMob, member offers mobile! T Cs SavaMob POBOX84, M263UZ. 3.00 Subs 16",spam,"F i n a l C h a n c e! C l a i m ur 150 wor th of d i s c o u n t vouche rs tod ay! T ext Y E S to 850 23 n o w! S a v a M o b, m e m b e r o f f e r s m o b i l e! T Cs S a v a M o b POBO X84, M263UZ. 3.00 Subs 16"
"Like &lt;#&gt; , same question",ham,"Like &lt;#&gt; , same question"
"whatever, im pretty pissed off.",ham,"whatever, im pretty pissed off."
Yeah I'll try to scrounge something up,ham,Yeah I'll try to scrounge something up
Old Orchard near univ. How about you?,ham,Old Orchard near univ. How about you?
No da. . Vijay going to talk in jaya tv,ham,No da. . Vijay going to talk in jaya tv
Prakesh is there know.,ham,Prakesh is there know.
NEFT Transaction with reference number &lt;#&gt; for Rs. &lt;DECIMAL&gt; has been credited to the beneficiary account on &lt;#&gt; at &lt;TIME&gt; : &lt;#&gt;,ham,NEFT Transaction with reference number &lt;#&gt; for Rs. &lt;DECIMAL&gt; has been credited to the beneficiary account on &lt;#&gt; at &lt;TIME&gt; : &lt;#&gt;
Kay... Since we are out already,ham,Kay... Since we are out already
How's ur paper?,ham,How's ur paper?
Huh so slow i tot u reach long ago liao... U 2 more days only i 4 more leh...,ham,Huh so slow i tot u reach long ago liao... U 2 more days only i 4 more leh...
"Sorry vikky, i'm Watching olave mandara movie kano in trishul theatre wit my frnds..",ham,"Sorry vikky, i'm Watching olave mandara movie kano in trishul theatre wit my frnds.."
Aiyar u so poor thing... I give u my support k... Jia you! I'll think of u...,ham,Aiyar u so poor thing... I give u my support k... Jia you! I'll think of u...
"I promise to take good care of you, princess. I have to run now. Please send pics when you get a chance. Ttyl!",ham,"I promise to take good care of you, princess. I have to run now. Please send pics when you get a chance. Ttyl!"
"New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today! From ONLY 1.  2optout 087187262701.50gbp/mtmsg18 TXTAUCTION.",spam,"N e w M obiles fr om 2 0 0 4, MU ST GO! Txt: N O K I A to No: 89545 & c o l l e c t you rs t o d a y! F r o m ON LY 1.  2o ptout 087187262701.50gbp/mtmsg18 TXTAUCTION."
K... Must book a not huh? so going for yoga basic on sunday?,ham,K... Must book a not huh? so going for yoga basic on sunday?
Oh sorry please its over,ham,Oh sorry please its over
That seems unnecessarily hostile,ham,That seems unnecessarily hostile
Oh yeah clearly it's my fault,ham,Oh yeah clearly it's my fault
Can... I'm free...,ham,Can... I'm free...
You are a winner U have been specially selected 2 receive 1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+),spam,Y o u are a wi nner U h a v e b e e n s p e c i a l ly s e l e c t e d 2 recei ve 10 00 or a 4* h o l i d a y (flights i n c) s p e a k to a l i v e o p e r a t o r 2 c l a i m 0871277810910p/min (18+)
Is avatar supposed to have subtoitles,ham,Is avatar supposed to have subtoitles
hows my favourite person today? r u workin hard? couldn't sleep again last nite nearly rang u at 4.30,ham,hows my favourite person today? r u workin hard? couldn't sleep again last nite nearly rang u at 4.30
Match started.india &lt;#&gt; for 2,ham,Match started.india &lt;#&gt; for 2
I thk u dun haf 2 hint in e forum already lor... Cos i told ron n darren is going 2 tell shuhui.,ham,I thk u dun haf 2 hint in e forum already lor... Cos i told ron n darren is going 2 tell shuhui.
Yep. I do like the pink furniture tho.,ham,Yep. I do like the pink furniture tho.
Are you angry with me. What happen dear,ham,Are you angry with me. What happen dear
Have you heard from this week?,ham,Have you heard from this week?
"Didn't try, g and I decided not to head out",ham,"Didn't try, g and I decided not to head out"
Babe? You said 2 hours and it's been almost 4 ... Is your internet down ?,ham,Babe? You said 2 hours and it's been almost 4 ... Is your internet down ?
URGENT This is our 2nd attempt to contact U. Your 900 prize from YESTERDAY is still awaiting collection. To claim CALL NOW 09061702893. ACL03530150PM,spam,U R G E N T Th is is o u r 2nd a ttempt to c o n t a c t U. Y our 900 p r i z e f r o m YESTERDAY is s t i l l a w a i t i n g coll ection. To cl a i m C A L L N O W 09061702893. ACL03530150PM
"For ur chance to win a 250 cash every wk TXT: ACTION to 80608. T's&C's  custcare 08712405022, 1x150p/wk",spam,"For ur c hance to w i n a 250 c ash e v e r y wk TXT: ACTION to 80608. T's&C's  c ustcare 08712405022, 1x150p/wk"
Dont know you bring some food,ham,Dont know you bring some food
Have you heard about that job? I'm going to that wildlife talk again tonight if u want2come. Its that2worzels and a wizzle or whatever it is?!,ham,Have you heard about that job? I'm going to that wildlife talk again tonight if u want2come. Its that2worzels and a wizzle or whatever it is?!
"Haha... Where got so fast lose weight, thk muz go 4 a month den got effect... Gee,later we go aust put bk e weight.",ham,"Haha... Where got so fast lose weight, thk muz go 4 a month den got effect... Gee,later we go aust put bk e weight."
"I'm in a meeting, call me later at",ham,"I'm in a meeting, call me later at"
"Our dating service has been asked 2 contact U by someone shy! CALL 09058091870 NOW all will be revealed. POBox84, M26 3UZ 150p",spam,"O u r d ating s ervice has b een asked 2 c ontact U by s omeone shy! C A L L 09058091870 N O W a l l w i l l be revealed. P O B o x 8 4, M26 3UZ 1 5 0 p"
What time do u get out?,ham,What time do u get out?
COME BACK TO TAMPA FFFFUUUUUUU,ham,COME BACK TO TAMPA FFFFUUUUUUU
PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S.I.M. points. Call 08718738001 Identifier Code: 49557 Expires 26/11/04,spam,P R I V A T E! Y our 2 0 0 3 Accou nt Sta tement for s h o w s 800 un-re deemed S.I.M. p oints. C a l l 08718738001 I d e n t i f i e r Co de: 49557 Exp ires 26/11/04
He said i look pretty wif long hair wat. But i thk he's cutting quite short 4 me leh.,ham,He said i look pretty wif long hair wat. But i thk he's cutting quite short 4 me leh.
"Aight yo, dats straight dogg",ham,"Aight yo, dats straight dogg"
"Sorry, I'll call later",ham,"Sorry, I'll call later"
But really quite funny lor wat... Then u shd haf run shorter distance wat...,ham,But really quite funny lor wat... Then u shd haf run shorter distance wat...
"Living is very simple.. Loving is also simple.. Laughing is too simple.. Winning is tooo simple.. But, being 'SIMPLE' is very difficult.. Gud nte.:-",ham,"Living is very simple.. Loving is also simple.. Laughing is too simple.. Winning is tooo simple.. But, being 'SIMPLE' is very difficult.. Gud nte.:-"
Ok that's great thanx a lot.,ham,Ok that's great thanx a lot.
"U can WIN 100 of Music Gift Vouchers every week starting NOW Txt the word DRAW to 87066 TsCs  SkillGame, 1Winaweek, age16. 150ppermessSubscription",spam,"U can W I N 100 of M u s i c G i f t V o u c h e r s eve ry w eek starting N O W Txt the w o r d D R A W to 8 7 0 6 6 TsCs  SkillGame, 1Winaweek, age16. 150ppermessSubscription"
Try neva mate!!,ham,Try neva mate!!
I'm in office now da:)where are you?,ham,I'm in office now da:)where are you?
We r outside already.,ham,We r outside already.
S.i'm watching it in live..,ham,S.i'm watching it in live..
"its cool but tyler had to take off so we're gonna buy for him and drop it off at his place later tonight. Our total order is a quarter, you got enough?",ham,"its cool but tyler had to take off so we're gonna buy for him and drop it off at his place later tonight. Our total order is a quarter, you got enough?"
"I think your mentor is , but not 100 percent sure.",ham,"I think your mentor is , but not 100 percent sure."
74355 XMAS iscoming & ur awarded either 500 CD gift vouchers & free entry 2 r 100 weekly draw txt MUSIC to 87066 TnC,spam,74355 X MAS iscoming & ur a warded e i t h e r 500 CD gi ft v o u c h e r s & f ree e ntry 2 r 100 week ly dr aw txt MUS IC to 8 7 0 6 6 TnC
Its &lt;#&gt; k here oh. Should i send home for sale.,ham,Its &lt;#&gt; k here oh. Should i send home for sale.
I'm good. Have you registered to vote?,ham,I'm good. Have you registered to vote?
No no. I will check all rooms befor activities,ham,No no. I will check all rooms befor activities
Thanks for ve lovely wisheds. You rock,ham,Thanks for ve lovely wisheds. You rock
Ok. So april. Cant wait,ham,Ok. So april. Cant wait
So its to be poking man everyday that they teach you in canada abi! How are you. Just saying hi.,ham,So its to be poking man everyday that they teach you in canada abi! How are you. Just saying hi.
Ur ringtone service has changed! 25 Free credits! Go to club4mobiles.com to choose content now! Stop? txt CLUB STOP to 87070. 150p/wk Club4 PO Box1146 MK45 2WT,spam,Ur ringto ne s e r v i c e has changed! 25 Fr ee c r e d i t s! Go to club4mobiles.com to cho ose c o n t e n t n o w! St op? txt CL UB S T O P to 87070. 1 50p/wk Club4 PO Box1146 MK45 2WT
Men like shorter ladies. Gaze up into his eyes.,ham,Men like shorter ladies. Gaze up into his eyes.
Did u find out what time the bus is at coz i need to sort some stuff out.,ham,Did u find out what time the bus is at coz i need to sort some stuff out.
* Was thinking about chuckin ur red green n black trainners 2 save carryin them bac on train,ham,* Was thinking about chuckin ur red green n black trainners 2 save carryin them bac on train
Burger King - Wanna play footy at a top stadium? Get 2 Burger King before 1st Sept and go Large or Super with Coca-Cola and walk out a winner,spam,Burger King - Wanna p l a y footy at a t o p stadium? G e t 2 Burger King b e f o r e 1st Sept and go Large or Super wi th Coca-Cola and walk o u t a w i n n e r
"Congratulations! Thanks to a good friend U have WON the 2,000 Xmas prize. 2 claim is easy, just call 08718726971 NOW! Only 10p per minute. BT-national-rate.",spam,"Congratulati ons! T h a n k s to a g o o d frie nd U h ave WON the 2,000 X m a s pri ze. 2 c laim is ea sy, j u s t c a l l 08718726971 N O W! O nly 10p p e r minute. BT-n a t i o n a l-ra te."
Pls dont forget to study,ham,Pls dont forget to study
Please da call me any mistake from my side sorry da. Pls da goto doctor.,ham,Please da call me any mistake from my side sorry da. Pls da goto doctor.
You are right. Meanwhile how's project twins comin up,ham,You are right. Meanwhile how's project twins comin up
Free Top ringtone -sub to weekly ringtone-get 1st week free-send SUBPOLY to 81618-?3 per week-stop sms-08718727870,spam,F r e e T o p r i n g t o n e -sub to w e e k l y ringto ne-g e t 1st we ek f r e e-s end SUBPOLY to 81618-?3 p e r w e e k-s t o p s m s-08718727870
"This is the 2nd time we have tried 2 contact u. U have won the 750 Pound prize. 2 claim is easy, call 08718726970 NOW! Only 10p per min. BT-national-rate",spam,"T h i s is the 2nd t i m e we ha ve t r i e d 2 c o n t a c t u. U ha ve won the 750 P o u n d pr ize. 2 c l a i m is e asy, c a l l 08718726970 N O W! O n l y 10p p e r min. BT-n a t i o n a l-r ate"
You said not now. No problem. When you can. Let me know.,ham,You said not now. No problem. When you can. Let me know.
"Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da.",ham,"Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da."
Dear how is chechi. Did you talk to her,ham,Dear how is chechi. Did you talk to her
Apart from the one i told you about yesterday?,ham,Apart from the one i told you about yesterday?
Stop calling everyone saying I might have cancer. My throat hurts to talk. I can't be answering everyones calls. If I get one more call I'm not babysitting on Monday,ham,Stop calling everyone saying I might have cancer. My throat hurts to talk. I can't be answering everyones calls. If I get one more call I'm not babysitting on Monday
"Thanks for your ringtone order, ref number K718. Your mobile will be charged 4.50. Should your tone not arrive please call customer services on 09065069120",spam,"Th anks for y o u r ringto ne o r d e r, ref nu mber K718. Y our m o b i l e w i l l be charg ed 4.50. Should yo ur t o n e not arrive p l e a s e c a l l cu stomer s e r v i c e s on 09065069120"
You see the requirements please,ham,You see the requirements please
Or u ask they all if next sat can a not. If all of them can make it then i'm ok lor.,ham,Or u ask they all if next sat can a not. If all of them can make it then i'm ok lor.
Call me when you get the chance plz &lt;3,ham,Call me when you get the chance plz &lt;3
My sort code is and acc no is . The bank is natwest. Can you reply to confirm i've sent this to the right person!,ham,My sort code is and acc no is . The bank is natwest. Can you reply to confirm i've sent this to the right person!
Was gr8 to see that message. So when r u leaving? Congrats dear. What school and wat r ur plans.,ham,Was gr8 to see that message. So when r u leaving? Congrats dear. What school and wat r ur plans.
I went to project centre,ham,I went to project centre
This is the 2nd time we have tried to contact u. U have won the 1450 prize to claim just call 09053750005 b4 310303. T&Cs/stop SMS 08718725756. 140ppm,spam,T h i s is the 2nd t ime we h a v e t r i e d to c o n t a c t u. U ha ve won the 1450 pri ze to c l a i m ju st c a l l 09053750005 b4 310303. T&Cs/s t o p S M S 08718725756. 140ppm
"SMS SERVICES. for your inclusive text credits, pls goto  login= 3qxj9 unsubscribe with STOP, no extra charge. help 08702840625.COMUK. 220-CM2 9AE",spam,"S M S SERVI CES. for y o u r inclusive t ext c redits, pls goto  login= 3qxj9 u n s u b s c r i b e w i t h S T O P, no e x t r a charge. he lp 08702840625.COMUK. 220-CM2 9AE"
Having lunch:)you are not in online?why?,ham,Having lunch:)you are not in online?why?
1Apple/Day=No Doctor. 1Tulsi Leaf/Day=No Cancer. 1Lemon/Day=No Fat. 1Cup Milk/day=No Bone Problms 3 Litres Watr/Day=No Diseases Snd ths 2 Whom U Care..:-),ham,1Apple/Day=No Doctor. 1Tulsi Leaf/Day=No Cancer. 1Lemon/Day=No Fat. 1Cup Milk/day=No Bone Problms 3 Litres Watr/Day=No Diseases Snd ths 2 Whom U Care..:-)
YOU HAVE WON! As a valued Vodafone customer our computer has picked YOU to win a 150 prize. To collect is easy. Just call 09061743386,spam,Y O U H AVE WON! As a val ued Vodafone custom er o u r computer has picked Y O U to w i n a 150 pr ize. To col lect is ea sy. Ju st c a l l 09061743386
Send me your id and password,ham,Send me your id and password
"Hi frnd, which is best way to avoid missunderstding wit our beloved one's?",ham,"Hi frnd, which is best way to avoid missunderstding wit our beloved one's?"
Hi darlin im on helens fone im gonna b up the princes 2 nite please come up tb love Kate,ham,Hi darlin im on helens fone im gonna b up the princes 2 nite please come up tb love Kate
"Aiyo... Her lesson so early... I'm still sleepin, haha... Okie, u go home liao den confirm w me lor...",ham,"Aiyo... Her lesson so early... I'm still sleepin, haha... Okie, u go home liao den confirm w me lor..."
I'm in class. Will holla later,ham,I'm in class. Will holla later
&lt;#&gt; am I think? Should say on syllabus,ham,&lt;#&gt; am I think? Should say on syllabus
Nice.nice.how is it working?,ham,Nice.nice.how is it working?
Today is ACCEPT DAY..U Accept me as? Brother Sister Lover Dear1 Best1 Clos1 Lvblefrnd Jstfrnd Cutefrnd Lifpartnr Belovd Swtheart Bstfrnd No rply means enemy,ham,Today is ACCEPT DAY..U Accept me as? Brother Sister Lover Dear1 Best1 Clos1 Lvblefrnd Jstfrnd Cutefrnd Lifpartnr Belovd Swtheart Bstfrnd No rply means enemy
Yo! Howz u? girls never rang after india. L,ham,Yo! Howz u? girls never rang after india. L
Yes princess! I want to catch you with my big strong hands...,ham,Yes princess! I want to catch you with my big strong hands...
Hey.. Something came up last min.. Think i wun be signing up tmr.. Hee,ham,Hey.. Something came up last min.. Think i wun be signing up tmr.. Hee
How much i gave to you. Morning.,ham,How much i gave to you. Morning.
Want to finally have lunch today?,ham,Want to finally have lunch today?
You want to go?,ham,You want to go?
Great. I was getting worried about you. Just know that a wonderful and caring person like you will have only the best in life. Know that u r wonderful and God's love is yours.,ham,Great. I was getting worried about you. Just know that a wonderful and caring person like you will have only the best in life. Know that u r wonderful and God's love is yours.
"My sister in law, hope you are having a great month. Just saying hey. Abiola",ham,"My sister in law, hope you are having a great month. Just saying hey. Abiola"
Dont put your phone on silent mode ok,ham,Dont put your phone on silent mode ok
I will come tomorrow di,ham,I will come tomorrow di
Nice.nice.how is it working?,ham,Nice.nice.how is it working?
No need to ke qi...  too bored izzit y suddenly thk of this...,ham,No need to ke qi...  too bored izzit y suddenly thk of this...
"Not for possession, especially not first offense",ham,"Not for possession, especially not first offense"
"Yes, my reg is Ciao!",ham,"Yes, my reg is Ciao!"
Tell me something. Thats okay.,ham,Tell me something. Thats okay.
R U &SAM P IN EACHOTHER. IF WE MEET WE CAN GO 2 MY HOUSE,ham,R U &SAM P IN EACHOTHER. IF WE MEET WE CAN GO 2 MY HOUSE
"Dear Voucher Holder, To claim this weeks offer, at your PC please go to  Ts&Cs apply.",spam,"De ar V o u c h e r H older, To c l a i m t his w e e k s of fer, at y o u r PC p l e a s e go to  Ts&Cs a p p l y."
You will be in the place of that man,ham,You will be in the place of that man
Friends that u can stay on fb chat with,ham,Friends that u can stay on fb chat with
What pa tell me.. I went to bath:-),ham,What pa tell me.. I went to bath:-)
He says he'll give me a call when his friend's got the money but that he's definitely buying before the end of the week,ham,He says he'll give me a call when his friend's got the money but that he's definitely buying before the end of the week
Even if he my friend he is a priest call him now,ham,Even if he my friend he is a priest call him now
"\Thinking of u ;) x\""""",ham,"\Thinking of u ;) x\"""""
Hi ....My engagement has been fixd on &lt;#&gt; th of next month. I know its really shocking bt....hmm njan vilikkam....t ws al of a sudn;-(.,ham,Hi ....My engagement has been fixd on &lt;#&gt; th of next month. I know its really shocking bt....hmm njan vilikkam....t ws al of a sudn;-(.
That's significant but dont worry.,ham,That's significant but dont worry.
Purity of friendship between two is not about smiling after reading the forwarded message..Its about smiling just by seeing the name. Gud evng,ham,Purity of friendship between two is not about smiling after reading the forwarded message..Its about smiling just by seeing the name. Gud evng
U're welcome... Caught u using broken english again...,ham,U're welcome... Caught u using broken english again...
"Princess, i like to make love &lt;#&gt; times per night. Hope thats not a problem!",ham,"Princess, i like to make love &lt;#&gt; times per night. Hope thats not a problem!"
"Same, I'm at my great aunts anniversary party in tarpon springs",ham,"Same, I'm at my great aunts anniversary party in tarpon springs"
I've sent my wife your text. After we buy them she'll tell you what to do. So just relax. We should go get them this wkend.,ham,I've sent my wife your text. After we buy them she'll tell you what to do. So just relax. We should go get them this wkend.
"That means you got an A in epi, she.s fine. She.s here now.",ham,"That means you got an A in epi, she.s fine. She.s here now."
Wif my family booking tour package.,ham,Wif my family booking tour package.
I dont thnk its a wrong calling between us,ham,I dont thnk its a wrong calling between us
"Tunji, how's the queen? how are you doing. This is just wishing you a great day. Abiola.",ham,"Tunji, how's the queen? how are you doing. This is just wishing you a great day. Abiola."
Oi. Ami parchi na re. Kicchu kaaj korte iccha korche na. Phone ta tul na. Plz. Plz.,ham,Oi. Ami parchi na re. Kicchu kaaj korte iccha korche na. Phone ta tul na. Plz. Plz.
We tried to contact you re our offer of New Video Phone 750 anytime any network mins HALF PRICE Rental camcorder call 08000930705 or reply for delivery Wed,spam,We t r i e d to conta ct y o u re o u r off er of N e w V i d e o P h o n e 750 a n y t i m e any n e t w o r k m i n s H ALF PR ICE R e n t a l camco rder ca ll 080009307 05 or r e p l y for deliv ery Wed
Have a good trip. Watch out for . Remember when you get back we must decide about easter.,ham,Have a good trip. Watch out for . Remember when you get back we must decide about easter.
Dip's cell dead. So i m coming with him. U better respond else we shall come back.,ham,Dip's cell dead. So i m coming with him. U better respond else we shall come back.
Package all your programs well,ham,Package all your programs well
To day class is there are no class.,ham,To day class is there are no class.
"Good afternoon, my love! How goes that day ? I hope maybe you got some leads on a job. I think of you, boytoy and send you a passionate kiss from across the sea",ham,"Good afternoon, my love! How goes that day ? I hope maybe you got some leads on a job. I think of you, boytoy and send you a passionate kiss from across the sea"
Wife.how she knew the time of murder exactly,ham,Wife.how she knew the time of murder exactly
"U were outbid by simonwatson5120 on the Shinco DVD Plyr. 2 bid again, visit sms. ac/smsrewards 2 end bid notifications, reply END OUT",spam,"U were outbid by simonwatson5120 on the Shinco DVD Plyr. 2 bid again, vi sit s m s. ac/smsrewards 2 end bid notifications, r e p l y END O U T"
Tired. I haven't slept well the past few nights.,ham,Tired. I haven't slept well the past few nights.
"HOT LIVE FANTASIES call now 08707500020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national rate call",spam,"H O T L I V E FANTASIES ca ll n o w 08707500020 J u s t 20p p e r min NTT Ltd, PO Box 1 3 2 7 C r o y d o n CR9 5WB 0 870 is a nat ional r a t e c a l l"
Good Morning plz call me sir,ham,Good Morning plz call me sir
Get your garden ready for summer with a FREE selection of summer bulbs and seeds worth 33:50 only with The Scotsman this Saturday. To stop go2 notxt.co.uk,spam,G e t y o u r garden ready for summer w i t h a F R E E selection of summer bulbs and seeds wo rth 33:50 o n l y w i t h The Scotsman t his S a t u r d a y. To s t o p go2 notxt.co.uk
Ok give me 5 minutes I think I see her. BTW you're my alibi. You were cutting my hair the whole time.,ham,Ok give me 5 minutes I think I see her. BTW you're my alibi. You were cutting my hair the whole time.
As a registered optin subscriber ur draw 4 100 gift voucher will be entered on receipt of a correct ans to 80062 Whats No1 in the BBC charts,spam,As a registered optin subscriber ur d r a w 4 100 g i f t v o u c h e r w i l l be e n t e r e d on receipt of a correct ans to 80 062 Whats No1 in the BBC charts
Not..tel software name..,ham,Not..tel software name..
"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/1.20 POBOXox36504W45WQ 16+",spam,"E ngland v Macedonia - d o n t m iss the goals/team ne ws. Txt ur nat ional team to 8 7 0 7 7 eg E N G L A N D to 87 077 T r y:WALES, SCOTLAND 4txt/1.20 POBOXox36504W45WQ 16+"
"True. It is passable. And if you get a high score and apply for phd, you get 5years of salary. So it makes life easier.",ham,"True. It is passable. And if you get a high score and apply for phd, you get 5years of salary. So it makes life easier."
Yes. They replied my mail. I'm going to the management office later. Plus will in to bank later also.or on wednesday.,ham,Yes. They replied my mail. I'm going to the management office later. Plus will in to bank later also.or on wednesday.
As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune
"Babe! I fucking love you too !! You know? Fuck it was so good to hear your voice. I so need that. I crave it. I can't get enough. I adore you, Ahmad *kisses*",ham,"Babe! I fucking love you too !! You know? Fuck it was so good to hear your voice. I so need that. I crave it. I can't get enough. I adore you, Ahmad *kisses*"
"Honeybee Said: *I'm d Sweetest in d World* God Laughed &amp; Said: *Wait,U Havnt Met d Person Reading This Msg* MORAL: Even GOD Can Crack Jokes! GM+GN+GE+GN:)",ham,"Honeybee Said: *I'm d Sweetest in d World* God Laughed &amp; Said: *Wait,U Havnt Met d Person Reading This Msg* MORAL: Even GOD Can Crack Jokes! GM+GN+GE+GN:)"
